kind,celula,cenario,metrica,incompletas,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia
GOV,13,centralizada,atraso_relativo,0,COMPLETO,2.382257220203108,1.3710470137455442,3.3934674266606715,4,positivo,positivo
GOV,13,centralizada,taxa_omissao,0,COMPLETO,0.15729166666666666,0.13002216236831296,0.18456117096502037,4,positivo,positivo
GOV,13,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.03914602985597002,0.028476555628281663,0.04981550408365838,4,positivo,positivo
GOV,13,centralizada,taxa_falha_efetiva,0,COMPLETO,0.3104166666666666,0.2662713089166144,0.35456202441671886,4,positivo,positivo
GOV,13,centralizada,fracao_porta1,0,COMPLETO,0.5614583333333334,0.5033109635196868,0.6196057031469799,4,positivo,positivo
GOV,14,adaptativa,atraso_relativo,0,COMPLETO,2.3414974567884617,1.3945698871854695,3.2884250263914536,4,positivo,positivo
GOV,14,adaptativa,taxa_omissao,0,COMPLETO,0.16458333333333333,0.1297096141310406,0.19945705253562607,4,positivo,positivo
GOV,14,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.03548665783606822,0.02587306950597533,0.04510024616616111,4,positivo,positivo
GOV,14,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.3125,0.2838547093178424,0.3411452906821576,4,positivo,positivo
GOV,14,adaptativa,fracao_porta1,0,COMPLETO,0.5583333333333333,0.49337192015206643,0.6232947465146003,4,positivo,positivo
GOV,14,centralizada,atraso_relativo,0,COMPLETO,2.3414974567884617,1.3945698871854695,3.2884250263914536,4,positivo,positivo
GOV,14,centralizada,taxa_omissao,0,COMPLETO,0.16458333333333333,0.1297096141310406,0.19945705253562607,4,positivo,positivo
GOV,14,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.03548665783606822,0.02587306950597533,0.04510024616616111,4,positivo,positivo
GOV,14,centralizada,taxa_falha_efetiva,0,COMPLETO,0.3125,0.2838547093178424,0.3411452906821576,4,positivo,positivo
GOV,14,centralizada,fracao_porta1,0,COMPLETO,0.5583333333333333,0.49337192015206643,0.6232947465146003,4,positivo,positivo
GOV,15,adaptativa,atraso_relativo,0,COMPLETO,2.7584669905974084,1.4014431647954104,4.115490816399406,4,positivo,positivo
GOV,15,adaptativa,taxa_omissao,0,COMPLETO,0.08020833333333334,0.06041034275005297,0.10000632391661371,4,positivo,positivo
GOV,15,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.03899899083274864,0.022075416986508264,0.05592256467898901,4,positivo,positivo
GOV,15,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.31770833333333337,0.27197348126998194,0.3634431853966848,4,positivo,positivo
GOV,15,adaptativa,fracao_porta1,0,COMPLETO,0.5510416666666667,0.48828881637798593,0.6137945169553474,4,positivo,positivo
GOV,15,centralizada,atraso_relativo,0,COMPLETO,2.7584669905974084,1.4014431647954104,4.115490816399406,4,positivo,positivo
GOV,15,centralizada,taxa_omissao,0,COMPLETO,0.08020833333333334,0.06041034275005297,0.10000632391661371,4,positivo,positivo
GOV,15,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.03899899083274864,0.022075416986508264,0.05592256467898901,4,positivo,positivo
