modo,tau_varrida,cenario,canal,tau_sat,s_transicao,arquivo,semente,concluiu,violacoes,n_executadas,makespan,makespan_cpm,atraso_relativo,TW,TL,TU,TR,taxa_omissao,taxa_falha_efetiva,divida_latente_sobre_plano,N_req,N_fail,N_success,N_blocked,hiato_encontrado,hiato_colega_capaz_sem_confianca,fracao_hiato_sem_confianca,confianca_media_final,motivo_termino
principal,0.6,centralizada,desligado,1.0,0.01,j6021_1.sm,1,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.0,0.01,j6021_1.sm,2,False,0,16,19456,76,256.0,121.0,0.0,116509.0,8.5,0.03333333333333333,0.05,0.015060240963855422,0,0,0,97094,116509,97094,0.8333605129217485,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.0,0.01,j6032_1.sm,0,False,0,8,17664,69,256.0,44.0,0.0,105922.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88270,105922,88270,0.8333490681822473,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.0,0.01,j6032_1.sm,1,False,0,8,17664,69,256.0,44.0,0.0,105922.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88270,105922,88270,0.8333490681822473,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.0,0.01,j6043_1.sm,0,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.0,0.01,j6043_1.sm,1,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6010_1.sm,0,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6010_1.sm,1,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6010_1.sm,2,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6010_1.sm,3,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6021_1.sm,0,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6021_1.sm,1,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6021_1.sm,2,False,0,16,19456,76,256.0,121.0,0.0,116509.0,8.5,0.03333333333333333,0.05,0.015060240963855422,0,0,0,97094,116509,97094,0.8333605129217485,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6032_1.sm,0,False,0,8,17664,69,256.0,44.0,0.0,105922.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88270,105922,88270,0.8333490681822473,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6032_1.sm,1,False,0,8,17664,69,256.0,44.0,0.0,105922.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88270,105922,88270,0.8333490681822473,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6043_1.sm,0,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.6,limite_seguranca
principal,0.6,centralizada,desligado,1.4,0.01,j6043_1.sm,1,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.6,limite_seguranca
principal,0.600001,centralizada,ativo,1.0,0.01,j6021_1.sm,0,True,0,60,262,76,3.4473684210526314,440.0,280.0,64.0,51.86727687415876,0.25,0.25,0.06730491428446743,305,25,280,0,344,0,0.0,0.975,terminal
principal,0.600001,centralizada,ativo,1.0,0.01,j6021_1.sm,1,True,0,60,239,76,3.1447368421052633,438.0,180.0,47.0,96.78991551365847,0.4166666666666667,0.43333333333333335,0.11347018332790601,197,17,180,0,227,0,0.0,0.9200001666666666,terminal
